0,.,2,0,0,0.8381542699724518,0.8381542699724518,1217
0,.,2,1,1,0.1618457300275482,.,235
1,.,2,0,0,0.7082228116710876,0.7082228116710876,267
1,.,2,1,1,0.2917771883289125,.,110
2,.,2,0,0,0.8837209302325582,0.8837209302325582,950
2,.,2,1,1,0.11627906976744186,.,125
3,.,2,0,0,0.536,0.536,67
3,.,2,1,1,0.464,.,58
4,.,2,0,0,0.7936507936507936,0.7936507936507936,200
4,.,2,1,1,0.20634920634920634,.,52
5,.,2,0,0,0.8241758241758241,0.8241758241758241,525
5,.,2,1,1,0.17582417582417584,.,112
6,6,2,0,0,0.9703196347031964,0.9703196347031964,425
6,6,2,1,1,0.02968036529680365,.,13
7,.,2,0,0,0.43333333333333335,.,39
7,.,2,1,1,0.5666666666666667,0.5666666666666667,51
8,.,2,0,0,0.8,0.8,28
8,.,2,1,1,0.2,.,7
9,.,2,0,0,0.6222222222222222,0.6222222222222222,56
9,.,2,1,1,0.37777777777777777,.,34
10,.,2,0,0,0.8888888888888888,0.8888888888888888,144
10,.,2,1,1,0.1111111111111111,.,18
11,11,2,0,0,0.8722466960352423,0.8722466960352423,396
11,11,2,1,1,0.1277533039647577,.,58
12,.,2,0,0,0.7049180327868853,0.7049180327868853,129
12,.,2,1,1,0.29508196721311475,.,54
13,13,2,0,0,0.3466666666666667,.,26
13,13,2,1,1,0.6533333333333333,0.6533333333333333,49
14,14,2,0,0,0.8666666666666667,0.8666666666666667,13
14,14,2,1,1,0.13333333333333333,.,2
15,.,2,0,0,0.5625,0.5625,9
15,.,2,1,1,0.4375,.,7
16,16,2,0,0,1.0,1.0,19
16,16,2,1,1,0.0,.,0
17,17,2,0,0,0.7727272727272727,0.7727272727272727,34
17,17,2,1,1,0.22727272727272727,.,10
18,.,2,0,0,0.4782608695652174,.,22
18,.,2,1,1,0.5217391304347826,0.5217391304347826,24
19,.,2,0,0,0.7428571428571429,0.7428571428571429,26
19,.,2,1,1,0.2571428571428571,.,9
20,20,2,0,0,0.9291338582677166,0.9291338582677166,118
20,20,2,1,1,0.07086614173228346,.,9
21,21,2,0,0,0.8125,0.8125,91
21,21,2,1,1,0.1875,.,21
22,.,2,0,0,0.5352112676056338,0.5352112676056338,38
22,.,2,1,1,0.4647887323943662,.,33
23,23,2,0,0,0.3333333333333333,.,3
23,23,2,1,1,0.6666666666666666,0.6666666666666666,6
24,24,2,0,0,0.8571428571428571,0.8571428571428571,6
24,24,2,1,1,0.14285714285714285,.,1
25,25,2,0,0,0.3333333333333333,.,9
25,25,2,1,1,0.6666666666666666,0.6666666666666666,18
26,26,2,0,0,0.6842105263157895,0.6842105263157895,13
26,26,2,1,1,0.3157894736842105,.,6
27,27,2,0,0,0.4166666666666667,.,5
27,27,2,1,1,0.5833333333333334,0.5833333333333334,7
28,28,2,0,0,0.9130434782608695,0.9130434782608695,21
28,28,2,1,1,0.08695652173913043,.,2
29,29,2,0,0,0.3103448275862069,.,9
29,29,2,1,1,0.6896551724137931,0.6896551724137931,20
30,30,2,0,0,0.6904761904761905,0.6904761904761905,29
30,30,2,1,1,0.30952380952380953,.,13
